Browse	Prehľadávať
{&DialogDefaultBold}Uninstalling [ProductName]	{&DialogDefaultBold}Odinštalováva sa [ProductName]
Sec.	Sek.
Status:	Stav:
Estimated time remaining:	Odhad zostávajúceho času:
{&DialogHeading}Resuming the Installation Wizard for [ProductName]	{&DialogHeading}Pokračuje sa v sprievodcovi inštaláciou [ProductName]
Choose the setup type that best suits your needs.	Zvoľte si typ nastavenia najlepšie vyhovujúci vašim potrebám.
Please select a setup type.	Vyberte si typ nastavenia.
{&DialogDefaultBold}Setup Type	{&DialogDefaultBold}Typ inštalácie
Repair or remove the program.	Opraviť alebo odstrániť program.
&Microsoft Word Documents	&Dokumenty Microsoft Word
Microsoft &Excel Spreadsheets	&Zošity Microsoft Excel
Microsoft Po&werPoint Presentations	Prezentácie Microsoft Po&werPoint
Microsoft &Visio Documents	Dokumenty Microsoft Visio
Set [DEFINEDPRODUCT] to be the default application for Microsoft Office file types.	Nastaviť [DEFINEDPRODUCT] ako predvolenú aplikáciu pre typy súborov Microsoft Office.
{&DialogDefaultBold}File Type	{&DialogDefaultBold}Typ súboru
The destination folder specified below does not contain a [DEFINEDPRODUCT] [DEFINEDVERSION] version.	Cieľový priečinok uvedený nižšie neobsahuje verziu [DEFINEDPRODUCT] [DEFINEDVERSION].
A newer [DEFINEDPRODUCT] [DEFINEDVERSION] has been found.	Bola nájdená novšia verzia [DEFINEDPRODUCT] [DEFINEDVERSION].
The version specified in the folder below cannot be updated.	Verzia uvedená v tomto priečinku nemôže byť aktualizovaná.
Check the destination folder.	Preverte cieľový priečinok.
To continue, click Next.	Pokračujte kliknutím na Ďalej.
To select a different folder, click Change.	Kliknutím na Zmeniť môžete vybrať iný priečinok.
Create a shortcut on desktop	Vytvoriť odkaz na pracovnej ploche
Load [ProductName] during system start-up	Načítať [ProductName] pri spustení systému
{&DialogDefaultBold}Attention!	{&DialogDefaultBold}Pozor!
The [ProductName] Help must be installed in the same directory as the program.	Pomocník [ProductName] musí byť nainštalovaný do inštalačného adresára programu LibreOffice.
The same version of this product is already installed.	Už je nainštalovaná rovnaká verzia tohto produktu.
{{Fatal error: }}	{{Kritická chyba: }}
Error [1].	Chyba [1].
Warning [1].	Upozornenie [1].
Info [1].	Informácia [1].
Internal Error [1]. [2]{, [3]}{, [4]}	Vnútorná chyba [1]. [2]{, [3]}{, [4]}
{{Disk full: }}	{{Plný disk: }}
Action [Time]: [1]. [2]	Činnosť [Time]: [1]. [2]
[ProductName]	[ProductName]
{[2]}{, [3]}{, [4]}	{[2]}{, [3]}{, [4]}
Message type: [1], Argument: [2]	Typ správy: [1], Argument: [2]
=== Logging started: [Date]  [Time] ===	=== Začiatok záznamu: [Date] [Time] ===
=== Logging stopped: [Date]  [Time] ===	=== Koniec záznamu: [Date] [Time] ===
Action start [Time]: [1].	Začiatok činnosti [Time]: [1].
Action ended [Time]: [1]. Return value [2].	Koniec činnosti [Time]: [1]. Vrátená hodnota [2].
Time remaining: {[1] minutes }{[2] seconds}	Zostávajúci čas: {[1] min. }{[2] sek.}
Out of memory. Shut down other applications before retrying.	Nedostatok pamäte.Zatvorte iné aplikácie a skúste znovu.
Installer is no longer responding.	Inštalátor neodpovedá.
Installer terminated prematurely.	Inštalátor predčasne skončil.
Please wait while Windows configures [ProductName]	Prosím čakajte kým Windows nastaví [ProductName]
Gathering required information...	Zbierajú sa potrebné informácie...
Removing older versions of this application	Odstraňujú sa staršie verzie tejto aplikácie
Preparing to remove older versions of this application	Pripravuje sa odstránenie starších verzií tejto aplikácie
{[ProductName] }Setup completed successfully.	{[ProductName] }Inštalátor úspešne skončil.
{[ProductName] }Setup failed.	{[ProductName] }Inštalátor zlyhal.
Please insert the disk: [2]	Prosím vložte disk: [2]
Error writing to file [2].  Verify that you have access to that directory.	Chyba pri zapisovaní do súboru [2]. Overte, či máte prístup do priečinku.
Error reading from file [2].  Verify that the file exists and that you can access it.	Chyba pri čítaní zo súboru [2]. Overte, či súbor existuje a či k nemu máte prístup.
Source file not found: [2].  Verify that the file exists and that you can access it.	Zdrojový súbor nenájdený: [2]. Overte, či súbor existuje a či k nemu máte prístup.
Error writing to file: [3]. {{ System error [2].}}  Verify that you have access to that directory.	Chyba pri zapisovaní do súboru [3]. {{ Systémová chyba [2].}} Overte, či súbor existuje a či k nemu máte prístup.
Source file not found{{(cabinet)}}: [2].  Verify that the file exists and that you can access it.	Zdrojový súbor nenájdený {{(cabinet)}}: [2]. Overte, či súbor existuje a či k nemu máte prístup.
The volume [2] is currently unavailable.  Please select another.	Disk [2] je momentálne nedostupný. Vyberte iný disk.
The specified path [2] is unavailable.	Zadaná cesta [2] je nedostupná.
Unable to write to the specified folder [2].	Nebolo možné zapisovať do určeného priečinku [2].
A network error occurred while attempting to read from the file [2]	Pri pokuse o čítanie zo súboru [2] sa vyskytla chyba siete
An error occurred while attempting to create the directory [2]	Pri pokuse o vytvorenie priečinku [2] sa vyskytla chyba
A network error occurred while attempting to create the directory [2]	Pri pokuse o vytvorenie priečinku [2] sa vyskytla chyba siete
A network error occurred while attempting to open the source file cabinet [2].	Pri pokuse o zdrojového cabinet súboru [2] sa vyskytla chyba siete.
The specified path is too long [2].	Zadaná cesta [2] je príliš dlhá.
The Installer has insufficient privileges to modify the file [2].	Inštalátor nemá dostatočné práva pre úpravu súboru [2].
A portion of the path [2] exceeds the length allowed by the system.	Časť cesty [2] presahuje systémom povolenú dĺžku.
The path [2] contains words that are not valid in folders.	Cesta [2] obsahuje slová, ktoré nie sú platné v priečinkoch.
The path [2] contains an invalid character.	Cesta [2] obsahuje neplatný znak.
[2] is not a valid short file name.	[2] nie je platný skrátený názov súboru.
Error getting file security: [3] GetLastError: [2]	Chyba pri získavaní bezpečnostných informácií o súbore: [3] GetLastError: [2]
Invalid Drive: [2]	Neplatný disk: [2]
Another installation is in progress. You must complete that installation before continuing this one.	Práve prebieha iná inštalácia. Pred pokračovaním v tejto inštalácii ju musíte najprv dokončiť.
Are you sure you want to cancel?	Ste si istí, že chcete zrušiť?
Could not access network location [2].	Umiestnenie v sieti [2] je nedostupné.
The following applications should be closed before continuing the installation:	Nasledujúce aplikácie by mali byť ukončené pred pokračovaním inštalácie:
The key [2] is not valid.  Verify that you entered the correct key.	Kľúč [2] je neplatný. Overte, či ste zadali správny kľúč.
No valid source could be found for product [2].  The Windows Installer cannot continue.	Pre produkt [2] nebol nájdený platný zdroj. Inštalátor Windows nemôže pokračovať.
Installation operation completed successfully.	Inštalácia bola úspešne dokončená.
Installation operation failed.	Inštalácia zlyhala.
Product: [2] -- [3]	Produkt: [2] -- [3]
The path [2] is not valid.  Please specify a valid path.	Cesta [2] je neplatná. Prosím, uveďte planú cestu.
The folder [2] does not exist.  Please enter a path to an existing folder.	Priečinok [2] neexistuje. Prosím, zadajte cestu k existujúcemu priečinku.
You have insufficient privileges to read this folder.	Na čítanie tohto priečinku nemáte dostatočné práva.
A valid destination folder for the installation could not be determined.	Nebolo možné určiť platný cieľový priečinok inštalácie.
Error attempting to read from the source installation database: [2].	Chyba pri pokuse čítať zo zdrojovej inštalačnej databázy: [2].
Scheduling reboot operation: Renaming file [2] to [3]. Must reboot to complete operation.	Pripravuje sa reštart: Premenúvava sa súbor [2] na [3]. Dokončenie operácie vyžaduje reštart.
Scheduling reboot operation: Deleting file [2]. Must reboot to complete operation.	Pripravuje sa reštart: Maže sa súbor [2]. Dokončenie operácie vyžaduje reštart.
Module [2] failed to register.  HRESULT [3].  Contact your support personnel.	Modul [2] nebolo možné zaregistrovať. HRESULT [3]. Kontaktujte vášho pracovníka technickej podpory.
Module [2] failed to unregister.  HRESULT [3].  Contact your support personnel.	Pre modul [2] nebolo možné zrušiť registráciu. HRESULT [3]. Kontaktujte vášho pracovníka technickej podpory.
Failed to cache package [2]. Error: [3]. Contact your support personnel.	Chyba pri načítaní balíčka [2] do vyrovnávacej pamäte. Chyba: [3]. Kontaktujte vášho pracovníka technickej podpory.
Could not unregister font [2]. Verify that you have sufficient permissions to remove fonts.	Nebolo možné zrušiť registráciu písma [2]. Overte, či máte dostatočné oprávnenia na zrušenie inštalácie písiem.
Could not create shortcut [2]. Verify that the destination folder exists and that you can access it.	Nebolo možné vytvoriť odkaz [2]. Overte, či cieľový priečinok existuje a či k nemu máte prístup.
Could not remove shortcut [2]. Verify that the shortcut file exists and that you can access it.	Nebolo možné odstrániť odkaz [2]. Overte, či cieľový súbor existuje a či k nemu máte prístup.
Could not register type library for file [2].  Contact your support personnel.	Nebolo možné zaregistrovať typovú knižnicu pre súbor [2]. Kontaktujte vášho pracovníka technickej podpory.
Could not unregister type library for file [2].  Contact your support personnel.	Nebolo možné zrušiť registráciu typovej knižnice pre súbor [2]. Kontaktujte vášho pracovníka technickej podpory.
Could not update the INI file [2][3].  Verify that the file exists and that you can access it.	Nebolo možné aktualizovať INI súbor [2][3]. Overte, či súbor existuje a či k nemu máte prístup.
Error removing ODBC driver manager, ODBC error [2]: [3]. Contact your support personnel.	Chyba pri odstraňovaní správcu ovládačov ODBC, chyba ODBC [2]: [3]. Kontaktujte vášho pracovníka technickej podpory.
Error installing ODBC driver manager, ODBC error [2]: [3]. Contact your support personnel.	Chyba pri inštalovaní správcu ovládačov ODBC, chyba ODBC [2]: [3]. Kontaktujte vášho pracovníka technickej podpory.
Error registering COM+ application.  Contact your support personnel for more information.	Chyba pri registrácii aplikácie COM+. Ďalšie informácie dostanete od vášho pracovníka technickej podpory.
Error unregistering COM+ application.  Contact your support personnel for more information.	Chyba pri zrušení registrácie aplikácie COM+. Ďalšie informácie dostanete od vášho pracovníka technickej podpory.
The description for service '[2]' ([3]) could not be changed.	Popis služby „[2]“ ([3]) nebolo možné zmeniť.
This setup requires Administrator privileges for configuring IIS Virtual Roots.	Toto nastavenie vyžaduje oprávnenia správcu na konfiguráciu IIS Virtual Roots.
LibreOffice Community	Komunita LibreOffice
https://www.libreoffice.org/get-help	https://sk.libreoffice.org/get-help
https://www.libreoffice.org/	http://sk.libreoffice.org/
https://www.libreoffice.org/download	http://sk.libreoffice.org/stiahnu/
Microsoft Word Document	Dokument Microsoft Word
Microsoft Word Template	Šablóna Microsoft Word
Microsoft Excel Worksheet	Pracovný zošit Microsoft Excel
Microsoft Excel Template	Šablóna Microsoft Excel
Microsoft PowerPoint Presentation	Prezentácia Microsoft PowerPoint
Microsoft PowerPoint Template	Šablóna Microsoft PowerPoint
Microsoft PowerPoint Show	Microsoft PowerPoint Show
Installation Wizard	Sprievodca inštaláciou
{&DialogDefaultBold}&Modify	{&DialogDefaultBold}&Upraviť
{&DialogDefaultBold}Re&pair	{&DialogDefaultBold}O&praviť
{&DialogDefaultBold}&Remove	{&DialogDefaultBold}&Odstrániť
{&DialogDefaultBold}&Typical	{&DialogDefaultBold}&Typické
{&DialogDefaultBold}Cu&stom	{&DialogDefaultBold}&Vlastné
I &do not accept the terms in the license agreement	Neprijímam po&dmienky uvedené v licenčnej zmluve
I &accept the terms in the license agreement	Prijím&am podmienky uvedené v licenčnej zmluve
&Anyone who uses this computer (all users)	K&aždý, kto používa tento počítač (všetci používatelia)
Only for &me ([USERNAME])	Len pre &mňa ([USERNAME])
&Close the applications and attempt to restart them.	&Ukončiť aplikácie a pokúsiť sa ich reštartovať.
&Do not close applications. A reboot will be required to complete the setup.	&Nekončiť aplikáciu. Na dokončenie inštalácie bude vyžadovaný reštart systému.
bytes	bajtov
GB	GB
KB	kB
MB	MB
This feature will not be available.	Táto súčasť nie je dostupná.
This feature will be installed when required.	Táto súčasť bude inštalovaná v momente potreby.
This feature, and all subfeatures, will be installed to run from the CD.	Táto súčasť a všetky jej podsúčasti sa budú spúšťať z CD.
This feature, and all subfeatures, will be installed on local hard drive.	Táto súčasť a všetky jej podsúčasti sa nainštalujú na pevný disk.
This feature, and all subfeatures, will be installed to run from the network.	Táto súčasť a všetky jej podsúčasti sa budú spúšťať zo siete.
This feature will be installed to run from CD.	Táto súčasť sa bude nainštalovaná z CD.
This feature will be installed on local hard drive.	Táto súčasť sa nainštaluje na pevný disk.
This feature will be installed to run from network.	Táto súčasť sa bude spúšťať zo siete.
Fldr|New Folder	Fldr|Nový priečinok
This feature will remain uninstalled.	Táto súčasť ostáva nenainštalovaná.
This feature will be set to be installed when required.	Táto súčasť bude nastavená na inštaláciu v prípade jej potreby.
This feature will be installed on the local hard drive.	Táto súčasť sa nainštaluje na pevný disk.
This feature will be installed to run from the network.	Táto súčasť sa bude spúšťať zo siete.
This feature will become unavailable.	Táto súčasť nebude dostupná.
Will be installed when required.	Nainštaluje sa v momente potreby.
This feature will be available to run from CD.	Táto súčasť sa bude spúšťať z CD.
This feature will be installed on your local hard drive.	Táto súčasť sa nainštaluje na pevný disk.
This feature will be available to run from the network.	Táto súčasť sa bude spúšťať zo siete.
This feature will be uninstalled completely, and you won't be able to run it from CD.	Táto súčasť sa kompletne odinštaluje a nebude možné ju spúšťať z CD.
This feature was run from the CD but will be set to be installed when required.	Bolo nastavené spúšťanie tento súčasti z CD, ale nainštaluje sa v prípade potreby použitia.
This feature will continue to be run from the CD	Táto súčasť bude aj naďalej fungovať z CD
This feature was run from the CD but will be installed on the local hard drive.	Bolo nastavené spúšťanie tento súčasti z CD, ale nainštaluje sa na lokálny pevný disk.
This feature frees up [1] on your hard drive.	Táto súčasť uvoľní [1] miesta na vašom pevnom disku.
This feature requires [1] on your hard drive.	Táto súčasť vyžaduje [1] miesta na vašom pevnom disku.
Compiling cost for this feature...	Vypočítavajú sa požiadavky tejto súčasti...
This feature will be completely removed.	Táto súčasť bude kompletne odstránená.
This feature will be removed from your local hard drive but will still be available to run from CD.	Táto súčasť bude odstránená z vášho lokálneho disku, ale bude nastavená na spúšťanie z CD.
This feature will remain on your local hard drive.	Táto súčasť aj naďalej zostáva na vašom lokálnom pevnom disku.
This feature will be uninstalled completely, and you won't be able to run it from the network.	Táto súčasť bude kompletne odinštalovaná a nebude možné ju používať zo siete.
This feature was run from the network but will be installed when required.	Táto súčasť bola nastavená pre fungovanie zo siete, ale bude inštalovaná v prípade potreby použitia.
This feature was run from the network but will be installed on the local hard drive.	Táto súčasť bola nastavená pre fungovanie zo siete, ale bude inštalovaná na lokálny pevný disk.
This feature will continue to be run from the network	Táto súčasť bude aj naďalej fungovať zo siete
Time remaining: {[1] min }[2] sec	Zostávajúci čas: {[1] min }[2] sek
Available	Dostupné
Differences	Rozdiely
Disk Size	Veľkosť disku
forward|fd	dopredu|do
back|bk	vzad|vz
left|turnleft|lt	vľavo|vl
right|turnright|rt	vpravo|vp
penup|pu	perohore|ph
pendown|pd	perodolu|pd
home	domov
point	bod
pencolor|pencolour|linecolor|pc	farbapera|farbačiary|fp|fč
any	ľubovoľný
pensize|penwidth|linewidth|ps	hrúbkapera|hrúbkačiary|hp|hč
penstyle|linestyle	štýlpera|štýlčiary|šp|šč
penjoint|linejoint	napojeniepera|napojeniečiary|np|nč
pencap|linecap	zakončeniepera|zakončeniečiary|zp|zč
bevel	šikmé
miter	ostré
round	zaoblené
solid	vyplnené
dashed	Čiarky
dotted	Bodkované
close	Zatvoriť
fill	výplň
fillcolor|fillcolour|fc	farbavýplne|fv
filltransparency	priehľadnosťvýplne|pv
pentransparency|linetransparency	priehľadnosťpera|priehľadnosťčiary|pp|pč
fillstyle	Výplň
fontcolor|textcolor|textcolour	farbapísma|farbatextu|fp|ft
fonttransparency|texttransparency	priehľadnosťpísma|priehľadnosťtextu|pp|pt
fontsize|textsize|textheight	veľkosťpísma|veľkosťtextu|vp|vt
fontweight	Váha písma
fontstyle	štýlpísma|šp
italic	Kurzíva
upright|normal	normálne|no
fontfamily	druhpísma|dp
clearscreen|cs	zmažobrazovku|zo
text	text
hideturtle|ht|hideme	skrykorytnačku|skry|sk
showturtle|st|showme	ukážkorytnačku|ukáž|uk
position|pos|setpos	pozícia|poz|nastavpoz|np
heading|setheading|seth	smer|nastavsmer|ns
pagesize	veľkosťstránky|vs
picture|pic	obrázok|obr
to	k
end	koniec
stop	zastav
repeat|forever	opakovať|stále
repcount	počítadlo|poč
break	Zalomenie
continue	Pokračovať
while	pokiaľ
for	pre
in	in
if	ak
output	Výstup
“|‘	"„|"""
”|’	"“|"""
true	pravda
false	nepravda
not	nieje
input	Vstup
print	Tlač
sleep	čakaj
global	globálne
random	náhodné
int	celé
float	Plávať
str	reťazec
log10	log10
sin	sin
cos	cos
abs	abs
count	počet
set	množina
range	oblasť
list	Zoznam
tuple	ntica
sorted	zoradené
sub	nahraď
search	Hľadať
findall	nájsťvšetko|nv
min	min
max	max
pi|π	pi|π
°	°
"in|"""	"in|"""
invisible	Neviditeľná
silver	strieborná
gray|grey	sivá
white	Biela
maroon	gaštanová
red	červená
purple	Purpurová
fuchsia|magenta	purpurová
green	zelená
lime	limetka
olive	olivová
yellow	žltá
navy	tmavomodrá
blue	modrá
teal	tyrkysová
aqua|cyan	azúrová
pink	ružový
orange	oranžová
violet	Fialová
skyblue	bledomodrá
brown	Hnedá
LibreLogo	LibreLogo
Error (in line %s)	Chyba (na riadku %s)
Unknown name: “%s”.	Neznámy názov: „%s“.
%s takes %s arguments (%s given).	%s vyžaduje %s argumentov ( zadaných bolo %s).
Error (extra or missing spaces at brackets?)	Chyba (nadbytočné alebo chýbajúce medzery pri zátvorkách?)
Unknown element: %s	Neznámy prvok: %s
Index out of range.	Index je mimo rozsahu.
Program terminated:	Program ukončený:
maximum recursion depth (%d) exceeded.	bola prekročená maximálna hĺbka rekurzie (%d).
not enough memory.	nedostatok pamäte.
